present,past
contact,contacted
contain,contained
contemplate,contemplated
contend,contended
content,contented
contest,contested
continue,continued
contract,contracted
contradict,contradicted
contrast,contrasted
contribute,contributed
contrive,contrived
control,controlled
convene,convened
converge,converged
converse,conversed
convert,converted
convey,conveyed
convict,convicted
convince,convinced
cook,cooked
cool,cooled
cooperate,cooperated
coordinate,coordinated
cope,coped
copy,copied
core,cored
cork,corked
correct,corrected
correlate,correlated
correspond,corresponded
corroborate,corroborated
corrupt,corrupted
cost,cost
cough,coughed
counsel,counseled
count,counted
counter,countered
counteract,counteracted
couple,coupled
court,courted
cover,covered
covet,coveted
crack,cracked
crash,crashed
crave,craved
crawl,crawled
craze,crazed
creak,creaked
crease,creased
create,created
credit,credited
creep,crept
cringe,cringed
cripple,crippled
criticize,criticized
croon,crooned
cross,crossed
crouch,crouched
crow,crowed
crowd,crowded
crown,crowned
crumble,crumbled
crush,crushed
cry,cried
culminate,culminated
cultivate,cultivated
cup,cupped
cure,cured
curl,curled
curse,cursed
curtail,curtailed
curve,curved
cushion,cushioned
cut,cut
damage,damaged
damn,damned
dampen,dampened
dance,danced
dangle,dangled
dare,dared
darken,darkened
darn,darned
dart,darted
dash,dashed
date,dated
dazzle,dazzled
deal,dealt
debate,debated
decant,decanted
decay,decayed
deceive,deceived
decide,decided
declaim,declaimed
declare,declared
decline,declined
decompose,decomposed
decorate,decorated
decrease,decreased
decry,decried
dedicate,dedicated
deduce,deduced
deduct,deducted
deem,deemed
defeat,defeated
defend,defended
define,defined
defraud,defrauded
defray,defrayed
defy,defied
delay,delayed
delegate,delegated
delight,delighted
deliver,delivered
delude,deluded
demand,demanded
democratize,democratized
demonstrate,demonstrated
demoralize,demoralized
denote,denoted
denounce,denounced
deny,denied
depart,departed
depend,depended
depict,depicted
deplore,deplored
deprive,deprived
derive,derived
descend,descended
describe,described
desert,deserted
deserve,deserved
design,designed
designate,designated
desire,desired
despise,despised
destroy,destroyed
detach,detached
detect,detected
deteriorate,deteriorated
determine,determined
detest,detested
devastate,devastated
develop,developed
devise,devised
devote,devoted
devour,devoured
diagnose,diagnosed
dial,dialed
dictate,dictated
die,died
differ,differed
differentiate,differentiated
diffuse,diffused
dig,dug
digest,digested
dilate,dilated
dilute,diluted
diminish,diminished
dine,dined
dip,dipped
direct,directed
disable,disabled
disabuse,disabused
disagree,disagred
disappear,disappeared
disapprove,disapproved
disarm,disarmed
discern,discerned
discharge,discharged
discipline,disciplined
disclose,disclosed
disconnect,disconnected
discontinue,discontinued
discount,discounted
discourage,discouraged
discover,discovered
discuss,discussed
disdain,disdained
disentangle,disentangled
disfigure,disfigured
disguise,disguised
disgust,disgusted
dishearten,disheartened
disintegrate,disintegrated
dislike,disliked
dislodge,dislodged
dismember,dismembered
dismiss,dismissed
dismount,dismounted
disobey,disobeyed
dispatch,dispatched
dispel,dispeled
dispense,dispensed
disperse,dispersed
displace,displaced
display,displayed
dispose,disposed
disprove,disproved
dispute,disputed
disregard,disregarded
disrupt,disrupted
dissolve,dissolved
dissuade,dissuaded
distinguish,distinguished
distort,distorted
distract,distracted
distribute,distributed
distrust,distrusted
disturb,disturbed
divert,diverted
divide,divided
divorce,divorced
dock,docked
document,documented
dodge,dodged
dominate,dominated
don,donned
donate,donated
doom,doomed
dot,doted
double,doubled
doubt,doubted
down,downed
doze,dozed
draft,drafted
drag,dragged
drain,drained
dramatize,dramatized
drape,draped
draw,drew
drawl,drawled
dress,dressed
drift,drifted
drill,drilled
drink,drank
drip,dripped
drive,drove
drop,dropped
drown,drowned
drum,drummed
dry,dried
duck,ducked
dump,dumped
duplicate,duplicated
dwarf,dwarfed
dwell,dwelt
dwindle,dwindled
dye,dyed
earn,earned
ease,eased
eat,ate
echo,echoed
economize,economized
edge,edged
edit,edited
educate,educated
effect,effected
effectuate,effectuated
ejaculate,ejaculated
elaborate,elaborated
elect,elected
elicit,elicited
eliminate,eliminated
elude,eluded
emancipate,emancipated
embark,embarked
embarrass,embarrassed
embody,embodied
embrace,embraced
emerge,emerged
emit,emitted
emphasize,emphasized
employ,employed
emptied,emptied
emulate,emulated
enable,enabled
enact,enacted
enclose,enclosed
encompass,encompassed
encounter,encountered
encourage,encouraged
end,ended
endear,endeared
endorse,endorsed
endow,endowed
endure,endured
enforce,enforced
engage,engaged
engender,engendered
engulf,engulfed
enhance,enhanced
enjoy,enjoyed
enlarge,enlarged
enlist,enlisted
enrich,enriched
enroll,enrolled
enslave,enslaved
ensue,ensued
ensure,ensured
entail,entailed
enter,entered
entertain,entertained
entitle,entitled
entreat,entreated
entrust,entrusted
envy,envied
equal,equaled
equate,equated
eradicate,eradicated
erase,erased
erect,erected
erode,eroded
erupt,erupted
escape,escaped
escort,escorted
establish,established
esteem,esteemed
estimate,estimated
estrange,estranged
evaluate,evaluated
even,evened
evoke,evoked
evolve,evolved
exact,exacted
exaggerate,exaggerated
examine,examined
exced,exceeded
exchange,exchanged
excite,excited
exclaim,exclaimed
exclude,excluded
excuse,excused
execute,executed
exemplify,exemplified
exercise,exercised
exert,exerted
exhale,exhaled
exhaust,exhausted
exhibit,exhibited
exist,existed
exonerate,exonerated
expand,expanded
expect,expected
expel,expeled
expend,expended
experience,experienced
experiment,experimented
expire,expired
explain,explained
explode,exploded
exploit,exploited
explore,explored
export,exported
expose,exposed
express,expressed
extend,extended
exterminate,exterminated
extract,extracted
extricate,extricated
exude,exuded
eye,eyed
face,faced
facilitate,facilitated
fade,faded
fail,failed
fall,fell
falsify,falsified
falter,faltered
fan,fanned
fancy,fancied
farm,farmed
fascinate,fascinated
fashion,fashioned
fasten,fastened
father,fathered
fathom,fathomed
favor,favored
fear,feared
feature,featured
feed,fed
feel,felt
fell,felled
fetch,fetched
field,fielded
fight,fought
figure,figured
file,filed
fill,filled
filter,filtered
finance,financed
find,found
finger,fingered
finish,finished
fire,fired
fix,fixed
flag,flaged
flame,flamed
flank,flanked
flap,flapped
flare,flared
flash,flashed
flatten,flattened
flatter,flattered
flaunt,flaunted
flee,fled
flex,flexed
flick,flicked
flicker,flickered
fling,flung
flip,flipped
float,floated
flock,flocked
flog,flogged
flood,flooded
flop,flopped
flourish,flourished
flow,flowed
flower,flowered
flutter,fluttered
fly,flew
foam,foamed
focus,focused
foil,foiled
fold,folded
follow,followed
fool,fooled
forbear,forbore
force,forced
forecast,forecast
forego,forewent
foresee,foresaw
forestall,forestalled
foretell,foretold
forfeit,forfeited
forget,forgot
forgive,forgave
fork,forked
form,formed
formalize,formalized
formulate,formulated
forsake,forsook
forswear,forswore
fort,forted
fortify,fortified
foster,fostered
foul,fouled
found,founded
frame,framed
free,freed
freeze,froze
frequent,frequented
frighten,frightened
frown,frowned
frustrate,frustrated
fry,fried
fulfill,fulfilled
fumble,fumbled
function,functioned
furnish,furnished
further,furthered
fuse,fused
fuss,fussed
gain,gained
gang,ganged
gape,gaped
gasp,gasped
gather,gathered
gaze,gazed
generalize,generalized
generate,generated
germinate,germinated
gesture,gestured
get,got
giggle,giggled
give,gave
glance,glanced
glare,glared
glaze,glazed
gleam,gleamed
glide,glided
glimpse,glimpsed
glint,glinted
glisten,glistened
gloat,gloated
glorify,glorified
glow,glowed
glower,glowered
glue,glued
go,went
gobble,gobbled
gouge,gouged
govern,governed
grab,grabbed
graduate,graduated
grant,granted
grasp,grasped
greet,greeted
grimace,grimaced
grin,grinned
grind,ground
grip,gripped
groan,groaned
grok,grokked
grope,groped
ground,grounded
group,grouped
grow,grew
growl,growled
grumble,grumbled
grunt,grunted
guarantee,guaranted
guard,guarded
guess,guessed
guide,guided
gulp,gulped
gush,gushed
hail,hailed
halt,halted
hammer,hammered
hamper,hampered
hand,handed
handle,handled
happen,happened
harass,harassed
harbor,harbored
hark,harked
harvest,harvested
hasten,hastened
hate,hated
haul,hauled
haunt,haunted
head,headed
heal,healed
hear,heard
heat,heated
heave,heaved
heed,heeded
help,helped
herd,herded
hesitate,hesitated
hibernate,hibernated
hide,hid
hinder,hindered
hint,hinted
hire,hired
hiss,hissed
hit,hit
hitch,hitched
hold,held
holler,hollered
honor,honored
hook,hooked
hop,hopped
hope,hoped
house,housed
hover,hovered
huddle,huddled
hug,hugged
hum,hummed
hunt,hunted
hurl,hurled
hurry,hurried
hurt,hurt
hustle,hustled
identify,identified
ignite,ignited
ignore,ignored
illumine,illumined
illustrate,illustrated
imagine,imagined
imitate,imitated
impair,impaired
impart,imparted
impinge,impinged
implement,implemented
imply,implied
import,imported
impose,imposed
impress,impressed
improve,improved
improvise,improvised
inactivate,inactivated
incite,incited
include,included
incorporate,incorporated
increase,increased
incur,incurred
indicate,indicated
induce,induced
indulge,indulged
infer,inferred
inflict,inflicted
influence,influenced
inform,informed
infuriate,infuriated
ingest,ingested
inherit,inherited
inhibit,inhibited
initiate,initiated
inject,injected
injure,injured
inquire,inquired
insert,inserted
insist,insisted
inspect,inspected
inspire,inspired
install,installed
institute,instituted
instruct,instructed
insulate,insulated
insult,insulted
insure,insured
integrate,integrated
intend,intended
intensify,intensified
interact,interacted
intercept,intercepted
interest,interested
interfere,interfered
interpenetrate,interpenetrated
interpret,interpreted
interrupt,interrupted
intersect,intersected
intervene,intervened
interview,interviewed
intimate,intimated
intimidate,intimidated
intone,intoned
introduce,introduced
inure,inured
invade,invaded
invalidate,invalidated
invent,invented
invest,invested
investigate,investigated
invite,invited
invoke,invoked
involve,involved
iodinate,iodinated
ionize,ionized
iron,ironed
isolate,isolated
issue,issued
itch,itched
itemize,itemized
jab,jabbed
jam,jammed
jeopardize,jeopardized
jerk,jerked
jingle,jingled
join,joined
joke,joked
jolt,jolted
journey,journeyed
judge,judged
jump,jumped
justify,justified
keep,kept
keynote,keynoted
kick,kicked
kill,killed
kiss,kissed
knock,knocked
know,knew
label,labeled
labor,labored
lack,lacked
lag,laged
land,landed
lapse,lapsed
lash,lashed
last,lasted
laugh,laughed
launch,launched
lay,laid
lead,led
leak,leaked
lean,leaned
learn,learned
lease,leased
leave,left
lecture,lectured
leer,leered
lend,lent
lengthen,lengthened
lessen,lessened
let,let
level,leveled
levy,levied
liberate,liberated
license,licensed
lick,licked
lift,lifted
lighten,lightened
like,liked
limit,limited
line,lined
linger,lingered
link,linked
list,listed
listen,listened
live,lived
load,loaded
loathe,loathed
locate,located
lock,locked
lodge,lodged
log,logged
long,longed
look,looked
loom,loomed
loose,loosed
loosen,loosened
loot,looted
lose,lost
lounge,lounged
love,loved
lower,lowered
lug,lugged
lunge,lunged
lurch,lurched
lure,lured
lurk,lurked
magnify,magnified
mail,mailed
maintain,maintained
make,made
man,manned
manage,managed
maneuver,maneuvered
manifest,manifested
manipulate,manipulated
manufacture,manufactured
mar,mared
march,marched
mark,marked
market,marketed
marry,married
marshal,marshaled
marvel,marveled
masquerade,masqueraded
mass,massed
master,mastered
match,matched
mate,mated
materialize,materialized
matriculate,matriculated
matter,mattered
mature,matured
mean,meant
measure,measured
meet,met
melt,melted
memorize,memorized
menace,menaced
mend,mended
mention,mentioned
merge,merged
merit,merited
mesh,meshed
mess,messed
meter,metered
milk,milked
mind,minded
mingle,mingled
minimize,minimized
minister,ministered
mirror,mirrored
misinterpret,misinterpreted
mislead,misled
misrepresent,misrepresented
miss,missed
mistrust,mistrusted
misuse,misused
mitigate,mitigated
mix,mixed
moan,moaned
mobilize,mobilized
mock,mocked
modernize,modernized
modify,modified
moisten,moistened
mold,molded
mollify,mollified
monopolize,monopolized
mop,mopped
motivate,motivated
mount,mounted
mourn,mourned
move,moved
multiply,multiplied
mumble,mumbled
murder,murdered
murmur,murmured
muse,mused
muster,mustered
mutter,muttered
nail,nailed
name,named
narrow,narrowed
near,neared
necessitate,necessitated
neck,necked
need,needed
negate,negated
neglect,neglected
negotiate,negotiated
nest,nested
nod,nodded
nominate,nominated
note,noted
notice,noticed
notify,notified
nudge,nudged
number,numbered
nurture,nurtured
obey,obeyed
object,objected
oblige,obliged
obliterate,obliterated
obscure,obscured
observe,observed
obsess,obsessed
obstruct,obstructed
obtain,obtained
obtrude,obtruded
occupy,occupied
occur,occurred
offend,offended
offer,offered
officiate,officiated
offset,offset
omit,omitted
ooze,oozed
open,opened
operate,operated
oppose,opposed
opt,opted
ordain,ordained
order,ordered
organize,organized
orient,oriented
originate,originated
oust,ousted
outdistance,outdistanced
outdo,outdid
outface,outfaced
outgrow,outgrew
outlaw,outlawed
outline,outlined
outnumber,outnumbered
outrage,outraged
outrun,outran
outweigh,outweighed
overcome,overcame
overflow,overflowed
overhear,overheard
overlap,overlaped
overload,overloaded
overlook,overlooked
overreach,overreached
overshadow,overshadowed
overtake,overtook
overthrow,overthrew
owe,owed
own,owned
pace,paced
pacify,pacified
pack,packed
package,packaged
pad,padded
paint,painted
panic,panicked
parallel,paralleled
paralyze,paralyzed
pardon,pardoned
pare,pared
park,parked
parody,parodied
part,parted
partake,partook
participate,participated
pass,passed
pat,patted
patrol,patrolled
patronize,patronized
pause,paused
pave,paved
pay,paid
peck,pecked
peel,peeled
peer,peered
penetrate,penetrated
people,peopled
perceive,perceived
perfect,perfected
perform,performed
perish,perished
permeate,permeated
permit,permitted
perpetuate,perpetuated
persist,persisted
personify,personified
persuade,persuaded
pertain,pertained
pervade,pervaded
pet,petted
petition,petitioned
phone,phoned
photograph,photographed
phrase,phrased
pick,picked
picture,pictured
pierce,pierced
pile,piled
pillage,pillaged
pilot,piloted
pin,pinned
pinch,pinched
pinpoint,pinpointed
pioneer,pioneered
pitch,pitched
pity,pitied
place,placed
plague,plagued
plan,planned
plant,planted
play,played
plead,pleaded
please,pleased
pledge,pledged
plot,plotted
plow,plowed
pluck,plucked
plug,plugged
plump,plumped
plunge,plunged
ply,plied
point,pointed
poise,poised
poison,poisoned
poke,poked
polish,polished
ponder,pondered
pool,pooled
pop,popped
portray,portrayed
pose,posed
position,positioned
possess,possessed
post,posted
postpone,postponed
postulate,postulated
pound,pounded
pour,poured
power,powered
practice,practiced
praise,praised
pray,prayed
preach,preached
precede,preceded
precipitate,precipitated
preclude,precluded
predict,predicted
prefer,preferred
prejudice,prejudiced
prepare,prepared
prescribe,prescribed
present,presented
preserve,preserved
preside,presided
press,pressed
presume,presumed
presuppose,presupposed
pretend,pretended
prevail,prevailed
prevent,prevented
price,priced
pride,prided
print,printed
probe,probed
proceed,proceeded
process,processed
proclaim,proclaimed
procure,procured
produce,produced
profess,professed
proffer,proffered
profit,profited
program,programmed
progress,progressed
prohibit,prohibited
project,projected
prolong,prolonged
promise,promised
promote,promoted
prompt,prompted
pronounce,pronounced
prop,propped
propel,propelled
propose,proposed
prosecute,prosecuted
prosper,prospered
protect,protected
protest,protested
protrude,protruded
prove,proved
provide,provided
provoke,provoked
pry,pried
publicize,publicized
publish,published
puff,puffed
pull,pulled
pump,pumped
punish,punished
purchase,purchased
purge,purged
purify,purified
purport,purported
purse,pursed
pursue,pursued
push,pushed
put,put
puzzle,puzzled
qualify,qualified
quarrel,quarreled
quell,quelled
question,questioned
quiet,quieted
quit,quit
quote,quoted
race,raced
rack,racked
radiate,radiated
rage,raged
rain,rained
raise,raised
rake,raked
rally,rallied
ram,rammed
ramble,rambled
range,ranged
rank,ranked
ransack,ransacked
rap,rapped
rape,raped
rate,rated
ration,rationed
rationalize,rationalized
rattle,rattled
reach,reached
react,reacted
read,read
readjust,readjusted
ready,readied
realize,realized
reap,reaped
rear,reared
rearrange,rearranged
reason,reasoned
reassemble,reassembled
reassure,reassured
rebel,rebelled
rebuild,rebuilt
rebuke,rebuked
rebut,rebutted
recall,recalled
recapture,recaptured
recede,receded
receive,received
recite,recited
reckon,reckoned
reclaim,reclaimed
recognize,recognized
recommend,recommended
reconcile,reconciled
reconsider,reconsidered
reconstruct,reconstructed
record,recorded
recount,recounted
recover,recovered
recruit,recruited
recur,recurred
redecorate,redecorated
redeem,redeemed
reduce,reduced
reel,reeled
refer,referred
refill,refilled
refine,refined
reflect,reflected
reform,reformed
refrain,refrained
refuse,refused
refute,refuted
regain,regained
regard,regarded
register,registered
regret,regretted
regulate,regulated
reinforce,reinforced
reject,rejected
rejoin,rejoined
relate,related
relax,relaxed
release,released
relieve,relieved
relinquish,relinquished
relish,relished
relive,relived
rely,relied
remain,remained
remake,remade
remark,remarked
remedy,remedied
remember,remembered
remind,reminded
remonstrate,remonstrated
remove,removed
rename,renamed
render,rendered
renew,renewed
rent,rented
repair,repaired
repay,repayed
repeat,repeated
repel,repeled
repent,repented
replace,replaced
replenish,replenished
reply,replied
report,reported
represent,represented
reproduce,reproduced
repute,reputed
request,requested
require,required
rescind,rescinded
rescue,rescued
resemble,resembled
resent,resented
reserve,reserved
reside,resided
resign,resigned
resist,resisted
resolve,resolved
resort,resorted
respect,respected
respond,responded
rest,rested
restore,restored
restrain,restrained
restrict,restricted
result,resulted
resume,resumed
retain,retained
retard,retarded
rethink,rethought
retire,retired
retort,retorted
retreat,retreated
retrieve,retrieved
return,returned
reveal,revealed
reverse,reversed
revert,reverted
review,reviewed
revise,revised
revive,revived
revolve,revolved
reward,rewarded
rid,rid
ride,rode
ridicule,ridiculed
ring,rang
rip,ripped
rise,rose
risk,risked
rival,rivaled
roam,roamed
roar,roared
roast,roasted
rob,robbed
rock,rocked
roll,rolled
romanticize,romanticized
root,rooted
rot,rotted
rotate,rotated
round,rounded
rouse,roused
row,rowed
rub,rubbed
ruin,ruined
rule,ruled
rumble,rumbled
run,ran
rush,rushed
rustle,rustled
sacrifice,sacrificed
safeguard,safeguarded
sag,sagged
sail,sailed
salt,salted
salute,saluted
salvage,salvaged
sample,sampled
sanction,sanctioned
satisfy,satisfied
save,saved
savor,savored
saw,sawed
say,said
scan,scanned
scandalize,scandalized
scare,scared
scatter,scattered
schedule,scheduled
school,schooled
scoop,scooped
scoot,scooted
score,scored
scour,scoured
scowl,scowled
scramble,scrambled
scrape,scraped
scratch,scratched
scrawl,scrawled
scream,screamed
screech,screeched
screen,screened
scrub,scrubbed
scrutinize,scrutinized
scurry,scurried
seal,sealed
sear,seared
search,searched
seat,seated
secede,seceded
secure,secured
see,saw
seek,sought
seem,seemed
seep,seeped
seize,seized
select,selected
sell,sold
send,sent
sense,sensed
separate,separated
serve,served
service,serviced
set,set
settle,settled
sever,severed
sew,sewed
shade,shaded
shadow,shadowed
shake,shook
shape,shaped
share,shared
shatter,shattered
shave,shaved
shear,sheared
shed,shed
shield,shielded
shift,shifted
shimmy,shimmied
shine,shone
ship,shipped
shiver,shivered
shock,shocked
shoot,shot
shop,shoped
shorten,shortened
shoulder,shouldered
shout,shouted
shove,shoved
show,showed
shower,showered
shred,shredded
shriek,shrieked
shrill,shrilled
shrug,shrugged
shudder,shuddered
shuffle,shuffled
shun,shunned
shut,shut
shy,shied
sicken,sickened
sidle,sidled
sift,sifted
sigh,sighed
sight,sighted
sign,signed
signal,signaled
signify,signified
silence,silenced
simmer,simmered
simplify,simplified
simulate,simulated
sin,sinned
sing,sang
single,singled
sink,sank
sip,sipped
sit,sat
size,sized
sizzle,sizzled
skate,skated
sketch,sketched
skid,skidded
skim,skimmed
skip,skipped
skirt,skirted
slacken,slackened
slam,slammed
slant,slanted
slap,slapped
slash,slashed
slay,slew
sleep,slept
slice,sliced
slide,slid
sling,slung
slink,slunk
slip,slipped
slit,slit
slow,slowed
slug,slugged
slump,slumped
smack,smacked
smash,smashed
smell,smelled
smile,smiled
smite,smote
smoke,smoked
smolder,smoldered
smooth,smoothed
smother,smothered
snag,snagged
snake,snaked
snap,snapped
snarl,snarled
snatch,snatched
snicker,snickered
sniff,sniffed
snort,snorted
snow,snowed
snuggle,snuggled
soak,soaked
soar,soared
sober,sobered
soften,softened
soil,soiled
solder,soldered
solve,solved
soothe,soothed
sort,sorted
sound,sounded
sow,sowed
space,spaced
span,spanned
spare,spared
spark,sparked
speak,spoke
spear,speared
specialize,specialized
specify,specified
speculate,speculated
speed,sped
spell,spelled
spend,spent
spice,spiced
spill,spilled
spin,spun
spit,spat
splash,splashed
split,split
spoil,spoiled
sponge,sponged
sponsor,sponsored
spot,spotted
spout,spouted
sprawl,sprawled
spray,sprayed
spread,spread
sprinkle,sprinkled
sprint,sprinted
sprout,sprouted
spur,spurred
square,squared
squat,squatted
squeak,squeaked
squeeze,squeezed
squint,squinted
stabilize,stabilized
stack,stacked
staff,staffed
stage,staged
stagger,staggered
stain,stained
stake,staked
stalk,stalked
stall,stalled
stammer,stammered
stamp,stamped
stampede,stampeded
stand,stood
star,starred
stare,stared
start,started
startle,startled
starve,starved
state,stated
stave,staved
stay,stayed
steady,steadied
steal,stole
steam,steamed
steer,steered
stem,stemmed
step,stepped
stick,stuck
stiffen,stiffened
stifle,stifled
still,stilled
stimulate,stimulated
sting,stung
stipulate,stipulated
stir,stirred
stock,stocked
stoop,stooped
stop,stopped
store,stored
storm,stormed
straggle,straggled
straighten,straightened
strain,strained
stray,strayed
streak,streaked
stream,streamed
strengthen,strengthened
stress,stressed
stretch,stretched
stride,strode
strike,struck
string,strung
strip,stripped
strive,strove
stroke,stroked
stroll,strolled
struggle,struggled
strut,strutted
study,studied
stuff,stuffed
stumble,stumbled
stun,stuned
subdue,subdued
submit,submitted
subscribe,subscribed
subside,subsided
subsidize,subsidized
substantiate,substantiated
substitute,substituted
subtract,subtracted
succed,succeeded
